violation,item,country,shipper,station,importers,cause,cargo,remarks,article,manufacturers,year,month,day
1,8,101.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1880.0,3,07,29
3,11,21.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,1705.0,3,07,29
1,3,21.0,0.0,8.0,0.0,0.0,8.0,8.0,5.0,342.0,3,07,30
1,18,21.0,218.0,19.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,30
1,19,101.0,197.0,18.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,30
3,19,87.0,0.0,11.0,0.0,0.0,8.0,8.0,27.0,154.0,3,07,30
1,19,136.0,430.0,18.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,30
0,8,21.0,161.0,37.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,30
1,17,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1295.0,3,07,30
3,19,12.0,0.0,27.0,0.0,0.0,8.0,8.0,27.0,1303.0,3,07,30
3,19,12.0,0.0,27.0,0.0,0.0,8.0,8.0,27.0,1303.0,3,07,30
1,8,58.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,1247.0,3,07,30
5,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,16.0,1103.0,3,07,30
1,15,123.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1009.0,3,07,30
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,137.0,3,07,30
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,137.0,3,07,30
5,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,1.0,1896.0,3,07,30
5,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,1.0,1896.0,3,07,30
1,17,101.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,872.0,3,07,30
0,19,123.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1698.0,3,07,30
1,19,21.0,452.0,23.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,30
5,19,132.0,274.0,42.0,0.0,0.0,9.0,9.0,9.0,11.0,3,07,30
0,19,70.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1266.0,3,07,30
0,19,63.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,559.0,3,07,30
3,6,132.0,581.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,30
0,5,142.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,1757.0,3,07,30
1,19,115.0,337.0,37.0,0.0,0.0,9.0,9.0,5.0,11.0,3,07,30
1,15,21.0,0.0,17.0,0.0,0.0,8.0,8.0,5.0,1356.0,3,07,30
3,12,132.0,408.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,30
3,4,132.0,393.0,18.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,30
3,11,132.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,123.0,3,07,30
3,19,63.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,476.0,3,07,30
5,19,132.0,274.0,29.0,0.0,0.0,8.0,8.0,9.0,11.0,3,07,30
5,11,21.0,0.0,42.0,0.0,0.0,8.0,8.0,9.0,205.0,3,07,30
9,19,130.0,0.0,29.0,0.0,0.0,8.0,8.0,2.0,20.0,3,07,30
5,19,101.0,254.0,37.0,0.0,0.0,8.0,8.0,9.0,11.0,3,07,30
1,18,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1774.0,3,07,30
0,19,139.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,599.0,3,07,30
1,15,21.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,345.0,3,07,30
0,11,36.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,970.0,3,07,30
1,3,21.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,1362.0,3,07,30
5,19,132.0,274.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,3,07,30
3,6,132.0,204.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,30
0,19,123.0,0.0,15.0,0.0,0.0,8.0,8.0,5.0,715.0,3,08,01
